501,TyTy Washington Jr.,PG,21,HOU,4.7,1.5,1.5,0.1,0.5
186,Tyrese Haliburton,PG,22,IND,20.7,3.7,10.4,0.4,1.6
321,T.J. McConnell,PG,30,IND,8.7,3.1,5.3,0.1,1.1
397,Jason Preston,PG,23,LAC,2.9,1.6,1.9,0,0.1
497,John Wall,PG,32,LAC,11.4,2.7,5.2,0.4,0.8
384,Scotty Pippen Jr.,PG,22,LAL,2.3,0.7,0.3,0.2,0.3
434,Dennis Schr�der,PG,29,LAL,12.6,2.5,4.5,0.2,0.8
89,Kennedy Chandler,PG,20,MEM,2.2,1.1,1.6,0.1,0.3
166,Jacob Gilyard,PG,24,MEM,3,4,7,0,3
256,Tyus Jones,PG,26,MEM,10.3,2.5,5.2,0.1,1
346,Ja Morant,PG,23,MEM,26.2,5.9,8.1,0.3,1.1
300,Kyle Lowry,PG,36,MIA,11.2,4.1,5.1,0.4,1
487,Gabe Vincent,PG,26,MIA,9.4,2.1,2.5,0.1,0.9
83,Jevon Carter,PG,27,MIL,8,2.5,2.4,0.4,0.8
214,Jrue Holiday,PG,32,MIL,19.3,5.1,7.4,0.4,1.2
514,Lindell Wigginton,PG,24,MIL,7.1,1,2,0.3,0
328,Jordan McLaughlin,PG,26,MIN,3.7,1.4,3.4,0.1,0.7
9,Jose Alvarado,PG,24,NOP,9,2.3,3,0.2,1.1
109,Dyson Daniels,PG,19,NOP,3.8,3.2,2.3,0.2,0.7
291,Kira Lewis Jr.,PG,21,NOP,4.6,1.3,0.9,0.1,0.4
69,Jalen Brunson,PG,26,NYK,24,3.5,6.2,0.2,0.9
318,Miles McBride,PG,22,NYK,3.5,0.8,1.1,0.1,0.6
403,Immanuel Quickley,PG,23,NYK,14.9,4.2,3.4,0.2,1
422,Derrick Rose,PG,34,NYK,5.6,1.5,1.7,0.2,0.3
164,Shai Gilgeous-Alexander,PG,24,OKC,31.4,4.8,5.5,1,1.6
305,Tre Mann,PG,21,OKC,7.7,2.3,1.8,0.2,0.6
13,Cole Anthony,PG,22,ORL,13,4.8,3.9,0.5,0.6
85,Michael Carter-Williams,PG,31,ORL,4.3,1.3,1.8,0.3,0.3
154,Markelle Fultz,PG,24,ORL,14,3.9,5.7,0.4,1.5
461,Jalen Suggs,PG,21,ORL,9.9,3,2.9,0.5,1.3
190,James Harden,PG,33,PHI,21,6.1,10.7,0.5,1.2
329,De'Anthony Melton,PG,24,PHI,10.1,4.1,2.6,0.5,1.6
380,Chris Paul,PG,37,PHO,13.9,4.3,8.9,0.4,1.5
381,Cameron Payne,PG,28,PHO,10.3,2.2,4.5,0.2,0.7
292,Damian Lillard,PG,32,POR,32.2,4.8,7.3,0.3,0.9
116,Matthew Dellavedova,PG,32,SAC,1.5,0.4,1.3,0,0.2
153,De'Aaron Fox,PG,25,SAC,25,4.2,6.1,0.3,1.1
337,Davion Mitchell,PG,24,SAC,5.6,1.3,2.3,0.2,0.6
255,Tre Jones,PG,23,SAS,12.9,3.6,6.6,0.1,1.3
25,Dalano Banton,PG,23,TOR,4.6,1.5,1.2,0.4,0.4
130,Jeff Dowtin,PG,25,TOR,2.4,0.9,1.2,0.1,0.4
147,Malachi Flynn,PG,24,TOR,4.6,1.4,1.3,0.1,0.4
485,Fred VanVleet,PG,28,TOR,19.3,4.1,7.2,0.6,1.8
15,Ryan Arcidiacono,PG,28,TOT,1.4,0.8,1.2,0,0.3
39,Patrick Beverley,PG,34,TOT,6.1,3.9,3,0.6,0.9
53,Jamaree Bouyea,PG,23,TOT,2.3,1.2,0.6,0.3,0.6
99,Mike Conley,PG,35,TOT,12.2,2.8,6.5,0.2,1.1
123,Spencer Dinwiddie,PG,29,TOT,17.2,3.5,7,0.3,0.9
132,Goran Dragi?,PG,36,TOT,6.1,1.5,2.3,0.1,0.2
171,Devonte' Graham,PG,27,TOT,8.6,1.9,3,0.2,0.7
188,R.J. Hampton,PG,21,TOT,6.5,1.9,1.1,0.2,0.6
211,George Hill,PG,36,TOT,5.1,1.8,2.3,0.2,0.6
